model,mae,mse,rmse,r2
Decision Tree,1518.473943809781,19656441.406671964,4433.558548916656,0.749215595376872
Linear Regression,2519.9692539170237,28029638.112110477,5294.302419782089,0.6423871462633424
SVM,3332.1400492434796,63536351.273468666,7970.96928067526,0.1893789065687993
